Id,SalePrice
1461,117026.06278436961
1462,158809.61249509777
1463,166249.5370005072
1464,195115.75198180455
1465,183437.11793094722
1466,171611.23755201127
1467,187895.43358710347
1468,165338.97308019368
1469,187690.9940662848
1470,116691.83198452942
1471,185906.26663135318
1472,108098.93461944678
1473,100406.1289147012
1474,150312.00476388753
1475,119068.15857706212
1476,349948.99363866186
1477,237726.11322183567
1478,290214.57404681464
1479,275640.9157888616
1480,478988.7746824244
1481,293843.90433277027
1482,201280.86743151108
1483,174058.39808940294
1484,165450.25871727566
1485,195591.41626312313
1486,198625.91666467104
1487,309430.86930547096
1488,238308.451620699
1489,183216.31134010537
1490,230202.5659742215
1491,196105.50159320596
1492,91362.77480836623
1493,195167.36342372192
1494,292425.6100925163
1495,272299.8497852467
1496,225043.19796054479
1497,170149.3605043966
1498,162059.63507021847
1499,157065.27300235437
1500,159036.82186790922
1501,167896.6812155922
1502,155976.58463412224
1503,284951.62561191287
1504,248232.9900357893
1505,225141.2995321962
1506,197384.3812833546
1507,239625.09407383794
1508,192000.2544853106
1509,154598.21673340083
1510,136467.78407127952
1511,146138.47760810703
1512,175067.15659403492
1513,150185.30797908435
1514,142614.8020216434
1515,184570.8704985637
1516,148483.53578609647
1517,162711.4670164108
1518,133686.43974233055
1519,204936.0043400249
1520,126714.01980367611
1521,121885.22379314447
1522,180446.28443072096
1523,103285.24050209424
1524,122030.2427019219
1525,110106.48627616005
1526,101364.37146291153
1527,101495.34761945592
1528,149559.48000763558
1529,141794.48293080478
1530,201932.06158719645
1531,114730.34331562935
1532,108416.3396391847
1533,167246.96723962208
1534,131109.69428058984
1535,145653.88728375186
1536,112850.61588173016
1537,55943.6775061712
1538,140838.27963500144
1539,196979.97387480398
1540,86203.93474951465
1541,134123.0571040197
1542,133315.15631422895
1543,165679.36295439178
1544,89919.60007755354
1545,104266.05791912283
1546,136283.14121952993
1547,130251.58849831771
1548,129232.9793364884
1549,115146.13845113992
1550,123375.86508433167
1551,120416.36716487943
1552,132083.78968041905
1553,139947.73263357376
1554,125868.48721070332
1555,153543.37710618088
1556,89810.46469482787
1557,90575.31423386716
1558,104997.06945014319
1559,72833.68732421249
1560,133238.33685869724
1561,117639.57621617132
1562,137476.9982066202
1563,117363.34775622826
1564,158632.44781477287
1565,132400.96322595846
1566,232379.41193511116
1567,78801.21888721218
1568,232331.10678396877
1569,122913.43828569673
1570,148669.57661952017
1571,117174.34395356504
1572,144374.07996151666
1573,231033.0370608008
1574,111844.69598058956
1575,217696.55972242355
1576,248717.13995432798
1577,179945.8286978315
1578,135839.90172683468
1579,129825.09703879552
1580,198026.57012109936
1581,160366.32313033871
1582,126964.19095137887
1583,294498.3089035603
1584,223537.98553266068
1585,143017.27100971987
1586,71081.07030919431
1587,100279.15538623568
1588,145313.57996602356
1589,91776.9797733395
1590,140106.28530520355
1591,90476.70831051496
1592,119152.22703387991
1593,134277.75664784847
1594,125795.9012687711
1595,98884.49900833266
1596,197729.96960615812
1597,159817.93667010192
1598,195801.27757024555
1599,177227.5210591432
1600,172173.69821155534
1601,67758.0998390571
1602,116386.0737120778
1603,78045.8169284081
1604,250686.79757103053
1605,247535.18548684358
1606,169518.99894311657
1607,184640.4927192445
1608,226928.9731585523
1609,183226.05328865783
1610,149012.49352316288
1611,135245.24391465497
1612,170539.9665882492
1613,168569.07571199248
1614,139383.3341387173
1615,99398.01822832947
1616,82594.78099281977
1617,97717.10305195116
1618,123433.36098634433
1619,145374.10479329724
1620,149213.5746217552
1621,129603.0536363269
1622,151666.78250191887
1623,260923.80802517844
1624,203117.5810530581
1625,114875.26138657655
1626,174170.0598632104
1627,188797.3794259053
1628,275266.0686191617
1629,170997.82364991392
1630,315256.9316976359
1631,214246.72548760893
1632,217090.6822096608
1633,179647.0534626692
1634,187373.97202913082
1635,184429.39507650572
1636,160145.0406959151
1637,195101.17812505603
1638,191170.03225487625
1639,185008.78615734086
1640,262664.17799939954
1641,179807.395180605
1642,236966.07394994205
1643,231210.65720045503
1644,225244.5793432996
1645,239988.89091470963
1646,168541.64889102278
1647,165456.0691881675
1648,132644.34669328123
1649,148274.0628529965
1650,110219.32553916198
1651,121457.01726377357
1652,111207.10134661445
1653,113251.37343666515
1654,143591.62937894536
1655,144725.22834456732
1656,140767.21119963063
1657,144844.24601916707
1658,145303.9970931189
1659,123697.00473729262
1660,149537.95554809758
1661,453646.85370772897
1662,358524.63613420265
1663,356793.2567364448
1664,499197.427530628
1665,299090.6216209497
1666,301877.78114676895
1667,353563.5975298348
1668,338277.91368687747
1669,295499.7204877755
1670,335379.28712634963
1671,253847.57437724987
1672,419517.4583280585
1673,286122.0321689775
1674,240825.51811200657
1675,184934.95803480063
1676,188139.96023066257
1677,202415.1645453149
1678,418912.4792113141
1679,354439.1997948395
1680,300853.5299012512
1681,235635.2182238837
1682,285133.5526273043
1683,182834.70235415146
1684,189589.50738431496
1685,181912.96546052722
1686,173147.90426396544
1687,180128.84661209665
1688,196634.70654527136
1689,200462.15554906553
1690,211089.0685083125
1691,202578.9656434117
1692,264598.9765963378
1693,178130.3568547667
1694,186371.55921343173
